;;
country;wave4;
Algeria;86,9;
Azerbaijan;83,3;
Argentina;87,2;
Australia;81,6;
Armenia;93,2;
Brazil;97,8;
Belarus;77,6;
Chile;88,8;
China;79,6;
Taiwan;90,1;
Colombia;98,4;
Cyprus;92;
Ecuador;95,8;
Estonia;82,3;
Georgia;88,7;
Palestine;84,3;
Germany;79,9;
Ghana;98,7;
Haiti;92,2;
Hong Kong;80;
India;94,1;
Iraq;90,8;
Japan;84,2;
Kazakhstan;85;
Jordan;86,8;
South Korea;90,6;
Kuwait;92,2;
Kyrgyzstan;93,3;
Lebanon;82,7;
Libya;88,9;
Malaysia;95,9;
Mexico;95,5;
Morocco;95,2;
Netherlands;78,6;
New Zealand;81,1;
Nigeria;93,1;
Pakistan;90,1;
Peru;94,7;
Philippines;98;
Poland;89,2;
Qatar;94,4;
Romania;90,2;
Russia;74,3;
Rwanda;88,5;
Singapore;83;
Slovenia;88,2;
South Africa;80,1;
Zimbabwe;97,2;
Spain;84,7;
Sweden;84,9;
Thailand;92;
Trinidad and Tobago;87,1;
Tunisia;94,2;
Turkey;81,3;
Ukraine;78,8;
Egypt;82,3;
United States;79,9;
Uruguay;89,7;
Uzbekistan;84,7;
Yemen;85;
